ID_Cliente,Nombre,Edad,Genero,Departamento,Municipio,Email,Telefono,Fecha_Registro,Segmento
1,Silvestre Ferrándiz Pallarès,61,F,Morazán,Municipio Principal,graciamorillo@example.org,72792942,2024-10-26,Empresarial
2,Ramón Osorio Amor,78,F,Cuscatlán,Municipio Principal,rivasofelia@example.net,77670308,2023-06-08,Empresarial
3,Mirta Sanabria,41,M,La Libertad,Zaragoza,consuelo49@example.com,79766873,2023-02-05,Premium
4,Norberto Lamas Cobo,29,F,Cuscatlán,Municipio Principal,escalonavalentin@example.net,74269185,2023-02-15,Individual
5,Feliciana Vilaplana Rebollo,57,M,San Vicente,Municipio Principal,maria-belen82@example.com,77811457,2023-11-30,Premium
6,Carlota Barbero Niño,36,M,Cuscatlán,Municipio Principal,regueramoises@example.net,71292293,2023-11-21,Individual
7,Elías Mendez Montenegro,18,F,San Miguel,Chinameca,inaranjo@example.org,71681242,2024-12-28,Premium
8,Santiago Dan Sáenz Corbacho,77,F,Morazán,Municipio Principal,milagros04@example.org,75905864,2024-02-29,Empresarial
9,Jordi Che Lara Godoy,73,F,La Unión,Municipio Principal,vallejomaria-dolores@example.net,71702721,2025-05-30,Premium
10,Curro de Arranz,38,F,La Paz,Municipio Principal,merinoanselmo@example.net,72673099,2023-12-23,Empresarial
11,Gustavo Blanch Méndez,74,M,Ahuachapán,Municipio Principal,epenas@example.com,78574846,2023-07-23,Empresarial
12,Cleto Sosa Campoy,44,F,Cabañas,Municipio Principal,feijoochema@example.com,72407148,2024-11-29,Individual
13,Roldán Mercader Parejo,55,M,Ahuachapán,Municipio Principal,elorzaana-sofia@example.org,78245670,2024-06-08,Individual
14,Ramona Hoz Ramírez,67,F,La Paz,Municipio Principal,yparejo@example.net,73653093,2025-09-05,Empresarial
15,Sancho Gras Nebot,61,F,Sonsonate,Municipio Principal,martinminguez@example.org,77560318,2023-03-02,Individual
16,Clotilde Gisela Bauzà Baró,47,F,San Miguel,Chinameca,pacagoni@example.com,75405839,2025-02-16,Premium
17,Olalla Verdejo Cueto,46,M,San Miguel,Chinameca,lfernandez@example.com,71448478,2023-01-22,Premium
18,Rosalva del Vera,21,M,Ahuachapán,Municipio Principal,cayetanapelaez@example.net,76068400,2025-01-08,Premium
19,Manuel Arnau Jaén,38,F,San Miguel,Chinameca,benavidesamado@example.net,73644114,2023-12-24,Empresarial
20,Heliodoro Segarra Guillén,28,M,San Vicente,Municipio Principal,gervasio37@example.com,73451580,2025-04-22,Individual
21,Juan Bautista Morán Ros,46,M,San Salvador,San Salvador,kcerda@example.com,78965486,2023-07-15,Premium
22,Silvia Anaya-Larrea,74,F,Ahuachapán,Municipio Principal,ursulareal@example.com,75641608,2024-01-10,Premium
23,Calista Aguado Álvaro,71,F,Ahuachapán,Municipio Principal,ibanezpaloma@example.net,74404235,2024-05-14,Premium
24,Benjamín Salazar,56,M,San Vicente,Municipio Principal,erasmo98@example.org,75500618,2025-09-16,Individual
25,Vinicio Donaire Cerro,39,M,La Paz,Municipio Principal,mendozafrancisco@example.org,75106504,2024-04-13,Individual
26,Emperatriz Ortiz Amaya,76,F,Morazán,Municipio Principal,amada03@example.org,77330809,2024-07-15,Premium
27,Nando Diez Herrera,72,M,Ahuachapán,Municipio Principal,ribateresa@example.net,72993931,2025-08-10,Premium
28,Joan Ayala,25,F,Usulután,Municipio Principal,ogallardo@example.com,72090729,2024-04-25,Empresarial
29,Evangelina Amigó Perera,39,M,San Miguel,Chinameca,urenadaniela@example.net,71010128,2024-04-19,Individual
30,Eulalia Soto Rey,60,F,San Vicente,Municipio Principal,irene49@example.org,72877368,2024-12-30,Individual
31,Candelas Quiroga-Sevilla,18,F,Ahuachapán,Municipio Principal,juan-manuel41@example.com,75384638,2023-05-02,Individual
32,Wilfredo Manolo Cuesta Piñol,46,M,Cabañas,Municipio Principal,jose-antoniomugica@example.org,78402790,2024-09-21,Premium
33,Paz Sevillano Benítez,54,F,La Libertad,Santa Tecla,csaez@example.org,78281976,2023-06-16,Individual
34,José Luis Cobos-Valencia,30,F,Ahuachapán,Municipio Principal,eporcel@example.net,78150945,2022-12-08,Empresarial
35,María Luisa Porcel-Valverde,39,M,La Paz,Municipio Principal,dorita56@example.com,79069558,2024-03-12,Empresarial
36,Pepe Rosa Campos,48,M,Usulután,Municipio Principal,leoncio61@example.com,73990397,2025-01-18,Empresarial
37,Benigna Calixta Juan Segovia,67,F,Cuscatlán,Municipio Principal,abarreda@example.org,71820115,2023-08-30,Premium
38,Claudio Nicolás-Morera,79,M,Santa Ana,Metapán,leopoldo23@example.com,77389658,2023-08-31,Empresarial
39,Ambrosio Cobos Gallo,31,M,Usulután,Municipio Principal,anastasiosegui@example.net,73538516,2024-05-11,Individual
40,Hilda Tovar-Alegria,57,M,Usulután,Municipio Principal,pliniobarrios@example.org,75989867,2022-12-06,Empresarial
41,Claudio Falcón Linares,19,M,San Miguel,San Miguel,geronimo78@example.com,73091398,2023-04-22,Premium
42,Maricruz Amorós Arribas,53,F,Sonsonate,Municipio Principal,martina86@example.net,72435498,2024-09-22,Premium
43,Candela Macías,28,M,San Vicente,Municipio Principal,badiapanfilo@example.net,71577622,2025-06-24,Individual
44,Valerio Álvaro,54,M,Usulután,Municipio Principal,xcabanillas@example.net,76658856,2023-06-04,Empresarial
45,Román Giménez Quintana,71,M,Sonsonate,Municipio Principal,nereaarevalo@example.org,76527970,2023-02-15,Premium
46,Eloísa Codina-Cano,59,F,La Paz,Municipio Principal,remediosmoliner@example.com,76766188,2023-05-27,Individual
47,Alfredo Noriega Ripoll,76,F,Ahuachapán,Municipio Principal,cabreranadia@example.org,73603479,2024-04-14,Individual
48,Cleto Galiano Carballo,80,F,Santa Ana,Santa Ana,nataliomora@example.net,79266384,2023-10-26,Premium
49,Virginia Leal Núñez,18,F,La Paz,Municipio Principal,jose-manuel70@example.com,78433872,2024-08-13,Individual
50,Susana Carballo Aznar,23,F,La Libertad,Zaragoza,pazosviviana@example.com,73588704,2025-06-29,Empresarial
51,Benito Osorio Torres,64,F,La Unión,Municipio Principal,buenogenoveva@example.com,76372809,2024-12-08,Premium
52,Salomón Portillo Lluch,65,F,San Miguel,Chinameca,teresacasanovas@example.com,71883761,2024-02-09,Individual
53,Enrique Araujo Quintanilla,24,M,San Miguel,San Miguel,rosellfelix@example.org,76279437,2023-11-17,Premium
54,Teodora Feijoo,71,F,Cabañas,Municipio Principal,moisesalmazan@example.org,73393109,2024-01-20,Individual
55,Rolando Cañellas-Mosquera,32,F,Morazán,Municipio Principal,carreteroharoldo@example.net,76993645,2024-12-16,Individual
56,Rico Carballo Vilaplana,59,F,Chalatenango,Municipio Principal,ucanet@example.net,74517942,2023-09-18,Premium
57,Vicenta Marcela Mendoza Medina,68,F,Cabañas,Municipio Principal,isaias17@example.net,75137928,2024-05-05,Premium
58,Mateo Dávila Benavente,68,F,Cuscatlán,Municipio Principal,jdiez@example.org,74771371,2023-02-15,Individual
59,Moreno Alberdi Goicoechea,46,F,La Paz,Municipio Principal,omanzano@example.com,76211758,2023-06-18,Premium
60,Crescencia Arco Melero,71,F,Cuscatlán,Municipio Principal,amadomanuel@example.net,71872391,2025-01-04,Premium
61,Agustín Cabello Valverde,56,F,Morazán,Municipio Principal,dexposito@example.org,77606619,2024-08-05,Premium
62,Lupe Gálvez,18,F,La Libertad,Santa Tecla,paulasalom@example.net,76821895,2025-03-30,Individual
63,Vinicio Cerdá Castejón,26,F,Ahuachapán,Municipio Principal,monrealaurea@example.com,74451511,2024-03-17,Individual
64,Santos del Borrell,67,M,Sonsonate,Municipio Principal,ebusquets@example.org,72995898,2023-10-03,Premium
65,Balduino Higueras,80,F,La Unión,Municipio Principal,wvinas@example.com,78546049,2025-05-22,Empresarial
66,Flora Mercedes Casado Ariza,40,F,Cuscatlán,Municipio Principal,ruizdalila@example.net,71303286,2025-06-14,Empresarial
67,Juana Cayetana Rodriguez Mayol,67,F,Morazán,Municipio Principal,filomenabarbera@example.org,72114824,2023-12-07,Individual
68,Nacho Simó,62,M,Cabañas,Municipio Principal,chema14@example.net,79456479,2025-09-30,Premium
